RowNames	SH1	SH2	SH3	SH4	SH5	SH6	SH7	SH8	SH9	SH10	SH11	SH12	SH13	SH14	SH15	SH16	SH17	SH18	SH19	SH20	SH21	SH22	SH23	SH24	SH25	SH26	SH27	SH28	SH29	SH30	YK31	YK32	YK33	YK34	YK35	YK36	YK37	YK38	YK39	YK40	YK41	YK42	YK43	YK44	YK45	YK46	YK47	YK48	YK49	YK50	YK51	YK52	YK53	YK54	YK55	YK56	YK57	YK58	YK59	YK60
k__Bacteria|p__Firmicutes|c__CFGB8351	0	0	0	0	0	0	0	0	0	0.15312	0	0.09247	0.02845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2.89324	0	0.31835	0.54433	0	0.75819	1.17425	0	0	0.14537	0.01475	0.33005	0.01609	0.05179	0.38245	0.74782	0.85605	0.48909	0.06185	0	0.194	0	0.5769	0.28074	0.05984	0.12328	0.02167	0	0.0236	0	0.17043	0	0.36414	0	0.19835	0.04696	0.53351	0.14048	0	0.30154	0	0	0.44852	0.25976	0.39641	0.01567	0.11522	0	0.03614	0.08544	1.43234	0.17464	0.31422	0.29167	0.07899	0	0.28559	0.52769	0.17017	0.43092
k__Bacteria|p__Firmicutes|c__CFGB9504	0.0461	0	0	0.13744	0.02352	0.0025	0.81739	0	0.04875	0.11664	0.01004	0.01073	0.09761	0.05316	0.2845	0.37981	1.12518	0.34096	0.60248	0.24433	0.90176	0.7014	0.39601	0.39517	0.22692	0.05782	0.64369	0.55113	0.29027	0.96914	0	0.20622	0.39426	0.35313	0.33044	0.0784	0.45495	0.13152	0	0	0	0.07486	0.06946	0.29904	0.81147	0.2361	0.51015	0.60634	0.12357	1.02123	0.92616	0.36054	0.40391	0.46925	0.16746	1.62223	0.28812	0.07771	0.55309	4.8193
k__Bacteria|p__Elusimicrobia|c__Elusimicrobia	1.11735	0.89233	2.16368	2.36281	0	0	3.29771	0	0.5601	0.09151	0.47672	0.01556	0	0	0.46093	0.04103	0	4.02502	0.23126	0	1.17685	0.01985	0	0	0	0.03612	0	2.77019	0.40853	0	0	0	0	0	0	0	0	0.77553	0.85996	0	0	0	0.30101	0	0.9951	0.05559	0.02536	0	0	4.22947	1.48128	0	0.82213	0.52011	0.77403	0.13858	0.00263	0.16827	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0	3.28838	0	0	0	0	0	0.00578	1.58958	0.05385	0.30236	0.0228	0.28376	1.26979	0.03985	0.0153	0.43969	0.01907	0.77985	0.29057	1.83241	0.3998	1.50556	0.01415	0.79259	1.14707	0.23919	0.18607	0.43829	0.33587	0.00943	0	0	0	0	0	0	0.03355	0	0	0	1.70155	3.84084	6.72144	1.75981	0.15657	1.25561	0.82884	0.03194	0.22495	0.69469	0.17745	0.30994	0.24741	0.11544	0.07893	0.47325	0.19154	0.12922	0.28607
k__Bacteria|p__Kiritimatiellaeota|c__Kiritimatiellae	0	0	0	0	0	0.11899	0.01544	0	0	0.03821	0.03692	0.05783	0.00983	0	0.03312	0.31675	2.72299	0	0.12353	0.14738	0.27141	0.02516	0.01135	0	0	0	0	1.68863	0.16113	0.40143	0	0	0	0	2.18614	0	0	0.29165	0	0.77007	0	0	0.01783	1.06583	5.63978	0.68799	0.71054	0	0.07669	10.27481	0	0.64482	2.57999	0.42827	0.5335	1.05074	0.53683	0.38342	5.95488	0.18924
k__Bacteria|p__Bacteroidetes|c__CFGB12404	0.04182	0	0.00574	0	0.04169	0.04938	0	0	0	0.03688	0	0	0.02704	0.00135	0.44338	0.01801	0.02198	0	0	0.06555	0	0.00756	0.00512	0.08497	0	0.00306	0.01689	0	0	0.00123	0	0.0228	0.01242	0.19864	0.04698	0	0	0.03752	0.01486	0	0	0	0.01062	0.01633	0.07016	0.02959	0.02089	0.03152	0	0.02566	0.02075	5.21036	0.03835	0.00315	0.01524	0.06786	0.03269	0.00523	0.00286	0.04519
k__Bacteria|p__Actinobacteria|c__CFGB8539	0	0	0	0	0	0	0	0	0	0.02799	0	0	0.03953	0	0	0	0	0.04368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB8213	0	0	0.25724	0.04066	0	0.04244	0.0531	1.32415	0.6788	0.0199	5.80262	0.50376	0.01325	0.44982	0.4225	1.40505	0.17845	0	3.87768	5.87399	0.03778	0.18636	0.42307	0.11404	18.31168	2.30671	1.33276	1.03547	0.3968	0.00658	0.13095	0.42038	0.56774	1.2087	0.64587	0.13819	1.28474	0.12091	1.58095	0.38353	0.26115	0.32727	0.12391	0.05015	0.90138	0.28324	0.31666	0.06814	0.39339	0	0.13681	0.20657	0	0.09595	0.18847	0.5653	0.08376	0.0022	0.01833	0
k__Bacteria|p__Firmicutes|c__CFGB9264	0	0.15002	0	0	0.03833	0	0	0	0.02135	0.01159	0.09987	0.04362	0.09999	0	0.01105	0.02416	0	0.06055	0.00807	0	0.00989	0	0	0	0	0.00104	0	0	0	0	0	0	0	0.08563	0	0	0	0.00784	0	0	0	0.02982	0.14217	0	0	0.05144	0	0	0	0.01562	0.01415	0.5162	0.40603	0.00198	0.01708	0.16332	0.00197	0	0.6084	0.10032
